Original Category,Encoded Value
DIAMOND BACK,270
DIAMONDBACK,271
DIANCHI,272
DIODARA,273
DIRECT JUMP,274
DIRTBIKE,275
DIVERGEV,276
DJ CITY,277
DK,278
DLO,279
DOHAN,280
DOLCEVITA,281
DONEKY,282
DONKEY,283
DOST,284
DOWNHILL GENERA,285
DRAGON,286
DUAL PED,287
DUTCHI,288
DYNACRAFT,289
DYNAMO,290
DYNASTY,291
E BIKE AMEGO,292
E-BIKE,293
E-CRUISE,294
E-FADA,295
E-MOTION,296
EAGLE,297
EAGLE2,298
EASY MOTION,299
EASY RIDER,300
EBAIK,301
EBIKE,302
EC1,303
ECO,304
ECOPED,305
EGLOBAL,306
EGO,307
ELBY,308
ELECTRA,309
ELECTRA BIKE,310
ELECTRA CRUISER,311
ELECTRA FADA,312
ELEGANCE,313
EM,314
EMMA,315
EMMO,316
EMMOZONE,317
EMO,318
ENNO,319
ENO,320
ENVO,321
EPACK,322
EPIC CYCLE,323
EQUATOR,324
ET,325
ET CYCLE,326
ET CYCLES,327
EURO,328
EURO MINIZIZO,329
EUROAIKE,330
EUROPEAN,331
EUY,332
EUYBIKE,333
EVERYDAY,334
EVIAN,335
EVIL,336
EVO,337
EVOLUTION,338
EWHEEL,339
EWHEELS,340
EWILD,341
EWIN,342
EWIND,343
EZRIDERS,344
FAHRRAD,345
FAT BIKE,346
FAT BOY,347
FATHOM 2,348
FEIT,349
FELT,350
FELT SIX,351
FELTS,352
FEXIE,353
FINDI,354
FIORI,355
FIT,356
FIT CO,357
FIT VH1,358
FIX WHEEL,359
FIXATION,360
FJ,361
FLASH,362
FLEX,363
FLY-Z,364
FOCUS,365
FOLDING,366
FONDRIEST,367
FORESTER,368
FORTRESS,369
FRAME,370
FREE SPIRIT,371
FREEDOM,372
FRIKE,373
FS,374
FSA,375
FUCARE,376
FUGI,377
FUJI,378
FUJI FEATHER,379
FUSE,380
FUZION,381
FYXATION,382
GAINT,383
GAMMA VISION,384
GANT,385
GARDIN,386
GARNEAU,387
GARRY FISHER,388
GARY FISHER,389
GATTO,390
GAZELLE,391
GEAX,392
GEMILLI,393
GEN 3,394
GENESIS,395
GENESIS MORACCI,396
GENISIS,397
GENNIX,398
GF,399
GHETTO,400
GHOST,401
GHOST BICYCLE,402
GI,403
GIAN,404
GIANT,405
GIANT ESCAPE,406
GIANT ESCAPE 1,407
GIANT REVOLT 1,408
GIANT ROAM,409
GIANT SEDONA,410
GIANT SEEK 3,411
GIANT`,412
GIMELLI,413
GIMELLY,414
GIO,415
GITANE,416
GLOBAL,417
GLOBE,418
GM,419
GO,420
GO PLUS,421
GO TRAX,422
GO-TRAX,423
GOLD TRAX,424
GOLDEN,425
GOPOWER,426
GORTRAX,427
GOTRAX,428
GOTREX,429
GR1ND,430
GRASSHOPPER,431
GRAVEL,432
GRAVITY BLADE,433
GREEN,434
GREEN BIKE,435
GREEN MOTO,436
GREENMOTO,437
GREENSPEED,438
GRIZZLY,439
GT,440
GT 11,441
GT AIRSTREAM,442
GT AVALANCHE,443
GT PANTERA,444
GT PRO,445
GTA EBIKE,446
GTE,447
GULU,448
GURU,449
GUSTON,450
GXL GOTRAX,451
GYRO,452
GYRO COPTER,453
GYROCOPTER,454
GYROCOPTERS,455
GYROPOPTERS,456
HAMPSTEN,457
HARDO,458
HARO,459
HATCH,460
HEAD,461
HEMO,462
HERO,463
HEYBIKE,464
HF,465
HIBOY,466
HIGH BOY,467
HIGH PEAK,468
HIGHLAND,469
HILANDER,470
HIMIWAY,471
HIMO,472
HINDLEY,473
HONDA,474
HOOLIGAN,475
HORNEDX,476
HOVER WAY,477
HSM,478
HU,479
HUFFY,480
HUMMER,481
HYBRID,482
HYPER,483
HYPER BEAR,484
HYPER CYCLE,485
HYPER V,486
I GO,487
IBIKE,488
IBIS,489
ICONIC,490
IDEAL,491
IGO,492
IH,493
IN,494
INFINITE PLUS,495
INFINITY,496
INFINITY\,497
INMOTION,498
INTENSE,499
INVACARE,500
INVERNESS 55CM,501
IRO,502
IRON,503
IRON HORSE,504
IRONHORSE,505
ITALIO,506
JA,507
JAMES,508
JAMESON,509
JAMI,510
JAMIES,511
JAMIS,512
JAMISON,513
JANGO,514
JANSNO,515
JASION EB7,516
JAVA,517
JEEP,518
JETSON,519
JHOHT,520
